Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date,ProductID,CropName
Red Sorghum,-,-,-,Ngurubani Market,80.00/Kg,100.00/Kg,1500.0,Kirinyaga,2026-02-04,2,Product-2
Red Sorghum,-,-,-,Kawangware,77.78/Kg,120.00/Kg,,Nairobi,2026-02-04,2,Product-2
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-02-04,2,Product-2
Red Sorghum,-,-,-,Maua,90.00/Kg,100.00/Kg,1100.0,Meru,2026-02-03,2,Product-2
Red Sorghum,-,-,-,Holo,70.00/Kg,75.00/Kg,,Kisumu,2026-02-03,2,Product-2
Red Sorghum,-,-,-,Kapkwen,75.00/Kg,90.00/Kg,1200.0,Bomet,2026-02-03,2,Product-2
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-02-03,2,Product-2
Red Sorghum,-,-,-,Kawangware,77.78/Kg,120.00/Kg,,Nairobi,2026-02-02,2,Product-2
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-02-02,2,Product-2
Red Sorghum,-,-,-,Kibuye,-,100.00/Kg,,Kisumu,2026-02-01,2,Product-2
Red Sorghum,-,-,-,Muhoroni,69.57/Kg,86.96/Kg,1000.0,Kisumu,2026-02-01,2,Product-2
Red Sorghum,-,-,-,Khayega,100.00/Kg,115.38/Kg,450.0,Kakamega,2026-02-01,2,Product-2
Red Sorghum,-,-,-,Ngurubani Market,80.00/Kg,100.00/Kg,2100.0,Kirinyaga,2026-01-31,2,Product-2
Red Sorghum,-,-,-,Kisasi,60.00/Kg,80.00/Kg,,Kitui,2026-01-30,2,Product-2
Red Sorghum,-,-,-,Mumias,-,68.18/Kg,,Kakamega,2026-01-30,2,Product-2
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-01-30,2,Product-2
Red Sorghum,-,-,-,Kitale Municipality Market,75.00/Kg,100.00/Kg,200.0,Trans-Nzoia,2026-01-30,2,Product-2
Red Sorghum,-,-,-,Kutus,78.00/Kg,90.00/Kg,,Kirinyaga,2026-01-29,2,Product-2
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-01-29,2,Product-2
Red Sorghum,-,-,-,Kawangware,77.78/Kg,120.00/Kg,,Nairobi,2026-01-29,2,Product-2
Red Sorghum,-,-,-,Kitale Municipality Market,75.00/Kg,100.00/Kg,300.0,Trans-Nzoia,2026-01-29,2,Product-2
